delta,pctl
36.37334,7.043813
36.36587,7.04408
36.35867,7.044346
36.35279,7.044613
36.34879,7.04488
36.31652,7.045147
36.29811,7.045413
36.26743,7.04568
36.25943,7.045947
36.25276,7.046214
36.21835,7.04648
36.21461,7.046747
36.21408,7.047014
36.20101,7.047547
36.19888,7.047814
36.17033,7.048081
36.17007,7.048348
36.16953,7.048614
36.16873,7.049148
36.16607,7.049681
36.165,7.049948
36.16339,7.050215
36.16286,7.050482
36.1626,7.050749
36.161,7.051015
36.16046,7.052616
36.15593,7.053149
36.15486,7.053683
36.15379,7.05475
36.15033,7.062219
36.13859,7.062486
36.13058,7.06462
36.12445,7.068888
36.12072,7.069155
36.11138,7.075291
36.10071,7.075557
36.09297,7.076091
36.0927,7.083827
36.06923,7.120907
36.06416,7.121173
36.04869,7.12144
36.04095,7.121707
36.03562,7.121974
36.02975,7.12224
36.02148,7.122507
36.01908,7.122774
36.01294,7.123041
35.99587,7.123307
35.9948,7.123574
35.96439,7.124108
35.95932,7.124908
35.94439,7.125175
35.93932,7.14038
35.93505,7.140647
35.93478,7.140914
35.92918,7.141447
35.91824,7.141714
35.90144,7.141981
35.89797,7.162254
35.89584,7.162788
35.87823,7.163321
35.86516,7.163588
35.83821,7.196933
35.83661,7.1972
35.83475,7.197467
35.83075,7.197734
35.82594,7.198
35.82408,7.198267
35.82088,7.198801
35.80754,7.199067
35.78673,7.199334
35.77019,7.199601
35.76726,7.200134
35.76646,7.200401
35.74565,7.245484
35.74352,7.246017
35.72831,7.246284
35.72377,7.246551
35.72351,7.246818
35.71711,7.247084
35.69817,7.247351
35.69736,7.248151
35.69683,7.248418
35.68483,7.248685
35.67496,7.248952
35.66562,7.249752
35.66322,7.250285
35.64668,7.250552
35.61414,7.250819
35.6056,7.251619
35.604,7.321244
35.59893,7.321511
35.5952,7.321777
35.59386,7.322044
35.59333,7.322311
35.58372,7.323111
35.57866,7.323378
35.56959,7.323645
35.55998,7.323911
35.55412,7.324178
35.55331,7.324445
35.54745,7.324978
35.54665,7.325512
35.52717,7.325779
35.52477,7.326045
35.52104,7.326579
35.51624,7.326846
35.51517,7.327379
35.51117,7.327913
35.49569,7.328713
35.49009,7.32898
35.48582,7.329247
35.48556,7.329513
35.48396,7.32978
35.47142,7.330047
35.45381,7.330314
35.44954,7.33058
35.44875,7.331381
35.44608,7.331647
35.43754,7.332181
35.43354,7.332714
35.4306,7.333515
35.4258,7.333781
35.425,7.334048
35.41887,7.334849
35.39833,7.335115
35.39059,7.335382
35.38419,7.335649
35.38366,7.335916
35.38339,7.336182
35.38312,7.336716
35.38232,7.336983
35.38179,7.337249
35.38152,7.337516
35.38072,7.337783
35.37965,7.339117
35.37939,7.339383
35.37912,7.340451
35.37885,7.341251
35.37725,7.341518
35.37458,7.342318
35.37432,7.343118
35.37405,7.343385
35.37352,7.344185
35.37112,7.344452
35.37085,7.344985
35.36979,7.345519
35.36605,7.345786
35.36498,7.34712
35.36178,7.355656
35.35831,7.355923
35.35751,7.356189
35.35218,7.357523
35.35085,7.35779
35.33831,7.358323
35.33697,7.359924
35.3327,7.360191
35.33057,7.362858
35.32684,7.364459
35.32177,7.364726
35.32096,7.364992
35.32017,7.371928
35.31643,7.372462
35.30629,7.372729
35.30443,7.372995
35.30096,7.373529
35.30016,7.383666
35.29856,7.383932
35.29829,7.384199
35.29642,7.384466
35.28735,7.384733
35.28522,7.385266
35.28469,7.385533
35.27748,7.386333
35.27375,7.429815
35.27242,7.430082
35.26895,7.430349
35.26601,7.431683
35.26548,7.432483
35.26388,7.433016
35.26041,7.433283
35.26014,7.43355
35.25108,7.433817
35.24841,7.434083
35.24494,7.43435
35.24441,7.434617
35.24041,7.435151
35.23774,7.435417
35.23747,7.435684
35.22653,7.435951
35.22147,7.436218
35.2204,7.437818
35.21853,7.438618
35.2172,7.438885
35.2164,7.439419
35.21533,7.439952
35.21213,7.440219
35.20946,7.440486
35.19666,7.440752
35.19506,7.441286
35.19345,7.44342
35.19292,7.443687
35.18732,7.443954
35.18652,7.44422
35.17451,7.445554
35.16758,7.446088
35.16491,7.446354
35.16438,7.447155
35.15984,7.447421
35.15771,7.447688
35.15691,7.448222
35.15397,7.450623
35.15344,7.450889
35.15104,7.45249
35.15077,7.452757
35.1473,7.453023
35.14597,7.455424
35.14464,7.469829
35.1441,7.470896
35.14224,7.47143
35.13183,7.473031
35.13023,7.473831
35.11876,7.474898
35.11263,7.475165
35.11103,7.475431
35.11076,7.475698
35.10489,7.476498
35.10356,7.498906
35.10169,7.499173
35.09555,7.501307
35.09315,7.502107
35.09182,7.502374
35.08995,7.504775
35.08835,7.505842
35.07635,7.506109
35.06194,7.507976
35.06141,7.50851
35.05501,7.508776
35.05367,7.51011
35.04967,7.510377
35.04674,7.511177
35.0462,7.511444
35.04567,7.539187
35.04247,7.539454
35.03286,7.539721
35.0318,7.541855
35.03153,7.542121
35.03127,7.542388
35.02806,7.542655
35.02726,7.542922
35.02513,7.544522
35.0238,7.545856
35.02166,7.546123
35.01553,7.547457
35.01526,7.54799
35.01286,7.548524
35.01233,7.548791
35.00992,7.549858
35.00619,7.551458
35.00592,7.551725
35.00512,7.551992
35.00272,7.553059
34.99659,7.553325
34.99525,7.553592
34.99365,7.554392
34.98805,7.562929
34.98778,7.563462
34.98672,7.564796
34.98538,7.565063
34.98351,7.565863
34.98058,7.56613
34.97951,7.566397
34.97898,7.567197
34.97871,7.568531
34.97791,7.569064
34.97658,7.569331
34.97525,7.569598
34.97258,7.569865
34.97204,7.570398
34.97178,7.578401
34.97071,7.582669
34.96831,7.582936
34.96698,7.58427
34.96431,7.584536
34.96244,7.584803
34.96217,7.634954
34.96004,7.636021
34.95817,7.636821
34.95737,7.637622
34.95257,7.638689
34.95097,7.640289
34.9475,7.640556
34.94563,7.64269
34.94484,7.642957
34.94297,7.643757
34.94217,7.644024
34.94057,7.644824
34.94003,7.646958
34.9363,7.647225
34.93576,7.655495
34.92749,7.656562
34.92669,7.663231
34.92643,7.664031
34.92563,7.664298
34.92536,7.664565
34.92323,7.668032
34.92163,7.670433
34.91976,7.671234
34.91789,7.672567
34.90775,7.674968
34.90375,7.680037
34.90242,7.681371
34.89602,7.687239
34.89495,7.687773
34.89175,7.690174
34.88855,7.698176
34.88748,7.698977
34.88535,7.700844
34.88161,7.701378
34.87841,7.701644
34.87574,7.708847
34.87468,7.70938
34.87307,7.711248
34.87254,7.716049
34.86694,7.718183
34.86641,7.722985
34.86587,7.723519
34.86481,7.723785
34.8632,7.724052
34.86027,7.728054
34.8592,7.730188
34.85787,7.730988
34.8512,7.741125
34.84827,7.741392
34.84507,7.743526
34.83973,7.745126
34.83813,7.746193
34.8376,7.753929
34.83706,7.754196
34.83599,7.755797
34.83573,7.756063
34.83253,7.75633
34.83146,7.756597
34.83093,7.756864
34.82986,7.765934
34.82826,7.766734
34.82613,7.767534
34.82559,7.773403
34.82426,7.774203
34.82239,7.775804
34.82026,7.786207
34.81812,7.791543
34.81252,7.795544
34.81039,7.872371
34.80905,7.873171
34.80478,7.874772
