wpm,pctl
191.13,0.536989
191.12,0.5375225
191.11,0.5388563
191.1,0.5404569
191.09,0.5409904
191.08,0.5412572
191.07,0.5439248
191.06,0.5444583
191.05,0.5447251
191.03,0.5452586
191.02,0.5455254
191,0.5460589
190.95,0.5463256
190.93,0.5465924
190.92,0.5468592
190.89,0.5471259
190.87,0.5473927
190.4,0.5543285
190.39,0.5553955
190.38,0.5572628
190.37,0.5591301
190.36,0.5612642
190.35,0.5623313
190.34,0.5636651
190.33,0.5639318
190.32,0.5641986
190.31,0.5644654
190.3,0.5649989
190.29,0.5655324
190.28,0.5660659
190.27,0.5687335
190.25,0.5690003
190.24,0.569267
190.22,0.5698006
190.21,0.5700673
190.18,0.5703341
190.16,0.5706009
190.15,0.5711344
190.12,0.5714011
190.08,0.5716679
190.06,0.5719347
190.05,0.5722014
189.64,0.5724682
189.61,0.5727349
189.6,0.5783369
189.59,0.5826051
189.58,0.5836721
189.57,0.5863397
189.56,0.588207
189.55,0.5916749
189.54,0.592742
189.53,0.5943425
189.52,0.5948761
189.51,0.5954096
189.5,0.5964766
189.49,0.5972769
189.48,0.5975437
189.47,0.599411
189.45,0.5996778
189.44,0.5999445
189.42,0.6002113
189.41,0.6010116
189.35,0.6012783
189.3,0.6018118
189.22,0.6020786
189.2,0.6023454
188.81,0.6026121
188.8,0.6076806
188.79,0.6095479
188.78,0.6119487
188.77,0.6146163
188.76,0.6167504
188.75,0.618351
188.74,0.6202183
188.73,0.6215521
188.72,0.6228859
188.71,0.6236862
188.69,0.623953
188.68,0.6244865
188.67,0.6282211
188.66,0.6290214
188.64,0.6292882
188.63,0.6303552
188.62,0.630622
188.61,0.6308887
188.6,0.6311555
188.57,0.6314223
188.55,0.631689
188.53,0.6319558
188.49,0.6322225
188.42,0.6324893
188.38,0.6327561
188.01,0.6330228
188,0.6410256
187.99,0.6455606
187.98,0.6474279
187.97,0.650629
187.96,0.6516961
187.95,0.6535634
187.94,0.6556975
187.93,0.6559642
187.92,0.656231
187.91,0.6586318
187.9,0.6596989
187.89,0.6604992
187.88,0.6612994
187.87,0.6666347
187.86,0.6674349
187.85,0.6677017
187.84,0.6679685
187.83,0.6682352
187.82,0.668502
187.81,0.6687687
187.8,0.6690355
187.75,0.669569
187.72,0.6698358
187.45,0.6701025
187.28,0.6703693
187.2,0.6778386
187.19,0.6834406
187.18,0.687442
187.17,0.6906431
187.16,0.6938442
187.15,0.6957116
187.14,0.6959783
187.13,0.6975789
187.11,0.6983792
187.1,0.6991794
187.09,0.699713
187.08,0.7029141
187.07,0.7037144
187.05,0.7039811
187.04,0.7047814
187.03,0.7053149
187.02,0.7055817
187.01,0.7058485
187,0.7061152
186.96,0.706382
186.95,0.7077158
186.91,0.7079825
186.89,0.7082493
